dataset,cutoff_doy,cutoff_label,lead_days_to_Mar1,predictor_set,model_family,features,reg_rmse,reg_mse_skill_vs_climatology,reg_correlation,reg_correlation_pvalue,cls_roc_auc,cls_brier_score,cls_brier_skill_vs_climatology,top25_hit_rate,top25_false_alarm_rate,top25_precision,top25_tp,top25_fp,top25_tn,top25_fn,n_samples,n_events,usable_predictability
B2000WCN001002,24,01-24,36,DYN_PLUS_O3,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",5.65036608537019,0.5069490384223534,0.7121460385348877,5.0515432861645365e-33,0.8189457601222307,0.14268133319543452,0.2365440504789743,0.5490196078431373,0.14935064935064934,0.5490196078431373,28,23,131,23,205,51,False
B2000WCN001002,24,01-24,36,DYN_PLUS_O3,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",5.916988040652651,0.4593203549125313,0.6782043381447307,5.688313815111071e-29,0.8027756557168322,0.16112958826938853,0.13783155754761234,0.5294117647058824,0.15584415584415584,0.5294117647058824,27,24,130,24,205,51,False
B2000WCN001002,25,01-25,35,DYN,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.237459885861968,0.3991664596468887,0.6320323261761308,2.9203765620811068e-24,0.768270944741533,0.1570871692338506,0.15946163903073962,0.45098039215686275,0.18181818181818182,0.45098039215686275,23,28,126,28,205,51,False
B2000WCN001002,25,01-25,35,DYN,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.498138480581446,0.3478964542977515,0.5907967137613008,1.1170272196108905e-20,0.7400050929462695,0.1871667884773816,-0.0014876859895545103,0.47058823529411764,0.17532467532467533,0.47058823529411764,24,27,127,27,205,51,False
B2000WCN001002,25,01-25,35,O3_MEMORY,linear,"O3_short_mean,O3_short_trend",5.673696967152426,0.5028689265698839,0.7091512005011336,1.2142168778466539e-32,0.8305322128851541,0.13711916754308434,0.2663059567101962,0.6274509803921569,0.12337662337662338,0.6274509803921569,32,19,135,19,205,51,True
B2000WCN001002,25,01-25,35,O3_MEMORY,random_forest,"O3_short_mean,O3_short_trend",5.8234146826539925,0.4762861355154542,0.6907698826714523,2.090309937193179e-30,0.8013750954927426,0.1568671010918118,0.16063917451191878,0.5490196078431373,0.14935064935064934,0.5490196078431373,28,23,131,23,205,51,False
B2000WCN001002,25,01-25,35,DYN_PLUS_O3,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",5.577444702683096,0.5195931586640479,0.7209165900447905,3.6262751701263087e-34,0.8218742042271454,0.14171480372332065,0.24171573383339062,0.5490196078431373,0.14935064935064934,0.5490196078431373,28,23,131,23,205,51,False
B2000WCN001002,25,01-25,35,DYN_PLUS_O3,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",5.871526951372513,0.467596680641455,0.6840941933953905,1.2343825417262147e-29,0.7975553857906799,0.15964696368947504,0.14576475056656635,0.5098039215686274,0.16233766233766234,0.5098039215686274,26,25,129,25,205,51,False
B2000WCN001002,26,01-26,34,DYN,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.236929618626705,0.39926861302451444,0.6321283997085155,2.860609438741695e-24,0.7661064425770308,0.15707582146584792,0.15952235840307372,0.45098039215686275,0.18181818181818182,0.45098039215686275,23,28,126,28,205,51,False
B2000WCN001002,26,01-26,34,DYN,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.455888815929675,0.3563485948635068,0.5976806268235111,3.0594141235533768e-21,0.7500636618283677,0.18250702764544988,0.023445653577790826,0.4117647058823529,0.19480519480519481,0.4117647058823529,21,30,124,30,205,51,False
B2000WCN001002,26,01-26,34,O3_MEMORY,linear,"O3_short_mean,O3_short_trend",5.615951074685013,0.5129368554199771,0.7162217606192052,1.5038309352910632e-33,0.8332060096765979,0.1361837229970269,0.2713113115673471,0.6274509803921569,0.12337662337662338,0.6274509803921569,32,19,135,19,205,51,True
B2000WCN001002,26,01-26,34,O3_MEMORY,random_forest,"O3_short_mean,O3_short_trend",5.781199763885309,0.4838515950197625,0.6963855540804517,4.5191395989935475e-31,0.7929717341482048,0.16022235151701245,0.14268597880029954,0.5882352941176471,0.13636363636363635,0.5882352941176471,30,21,133,21,205,51,False
